PromoID,ProductID,StoreID,StartDate,EndDate,PromoType,DiscountPct,Channel,StoreScope
PR0331,P0081,,14-07-2025,27-07-2025,Bundle,0.1,In-Store,All
PR0332,P0159,S029,05-12-2024,15-12-2024,Coupon,0.09,In-Store,Single
PR0333,P0144,,01-03-2025,21-03-2025,Flash Sale,0.16,In-Store,All
PR0334,P0175,S020,12-12-2024,18-12-2024,Price Cut,0.08,Both,Single
PR0335,P0147,S026,21-03-2025,26-03-2025,Price Cut,0.03,Online,Single
PR0336,P0078,S014,13-04-2025,27-04-2025,BOGO,0.5,In-Store,Single
PR0337,P0164,,31-01-2024,07-02-2024,BOGO,0.5,Both,All
PR0338,P0114,S017,05-11-2024,12-11-2024,Coupon,0.19,In-Store,Single
PR0339,P0146,S010,28-02-2024,12-03-2024,Coupon,0.17,In-Store,Single
PR0340,P0112,,16-03-2025,25-03-2025,Flash Sale,0.16,In-Store,All
PR0341,P0054,,16-07-2024,19-07-2024,Price Cut,0.21,In-Store,All
PR0342,P0169,S018,31-12-2024,16-01-2025,Price Cut,0.04,Online,Single
PR0343,P0127,,25-01-2024,11-02-2024,Price Cut,0.1,Both,All
PR0344,P0087,S008,16-09-2025,25-09-2025,Price Cut,0.15,Online,Single
PR0345,P0131,S008,21-10-2024,25-10-2024,Price Cut,0.16,In-Store,Single
PR0346,P0088,,07-09-2025,18-09-2025,Bundle,0.13,In-Store,All
PR0347,P0116,S024,27-02-2025,19-03-2025,Price Cut,0.08,In-Store,Single
PR0348,P0074,,04-10-2024,16-10-2024,BOGO,0.5,In-Store,All
PR0349,P0057,S008,04-07-2024,22-07-2024,Price Cut,0.21,In-Store,Single
PR0350,P0146,S004,08-02-2025,26-02-2025,Price Cut,0.06,In-Store,Single
PR0351,P0031,S002,13-02-2025,24-02-2025,Coupon,0.13,Online,Single
PR0352,P0168,S029,21-04-2025,09-05-2025,Price Cut,0.15,In-Store,Single
PR0353,P0080,S025,02-01-2024,21-01-2024,Bundle,0.34,Online,Single
PR0354,P0148,S009,03-02-2025,22-02-2025,Price Cut,0.03,In-Store,Single
PR0355,P0070,,15-12-2024,27-12-2024,Price Cut,0.3,In-Store,All
PR0356,P0069,S010,29-06-2025,12-07-2025,BOGO,0.5,In-Store,Single
PR0357,P0004,S011,16-05-2024,27-05-2024,Price Cut,0.25,Both,Single
PR0358,P0131,S030,27-09-2024,11-10-2024,Price Cut,0.12,Both,Single
PR0359,P0139,,03-05-2025,23-05-2025,Bundle,0.13,In-Store,All
PR0360,P0147,,12-02-2024,17-02-2024,Price Cut,0.16,In-Store,All
PR0361,P0154,,22-07-2025,28-07-2025,Price Cut,0.3,In-Store,All
PR0362,P0119,S027,24-01-2024,13-02-2024,Price Cut,0.06,Both,Single
PR0363,P0028,S026,05-10-2024,11-10-2024,Price Cut,0.2,In-Store,Single
PR0364,P0164,S009,23-06-2025,26-06-2025,Price Cut,0.15,In-Store,Single
PR0365,P0035,S006,03-03-2024,12-03-2024,Flash Sale,0.22,In-Store,Single
PR0366,P0108,,26-03-2025,06-04-2025,Price Cut,0.2,Online,All
PR0367,P0091,S001,06-08-2024,14-08-2024,Price Cut,0.05,In-Store,Single
PR0368,P0136,S026,22-04-2024,02-05-2024,Price Cut,0.02,Both,Single
PR0369,P0172,S010,16-02-2024,24-02-2024,Bundle,0.12,In-Store,Single
PR0370,P0049,S010,01-01-2024,08-01-2024,Flash Sale,0.29,Both,Single
PR0371,P0061,S010,28-04-2025,05-05-2025,Price Cut,0.27,Both,Single
PR0372,P0067,S009,25-09-2024,13-10-2024,Price Cut,0.05,In-Store,Single
PR0373,P0067,S023,29-06-2025,19-07-2025,Price Cut,0.12,In-Store,Single
PR0374,P0050,S001,25-06-2024,01-07-2024,Price Cut,0.09,Both,Single
PR0375,P0133,,27-03-2025,05-04-2025,Price Cut,0.24,Both,All
PR0376,P0115,S016,29-05-2025,17-06-2025,BOGO,0.5,Both,Single
PR0377,P0045,,09-03-2025,24-03-2025,Price Cut,0.22,In-Store,All
PR0378,P0157,,22-06-2025,28-06-2025,Price Cut,0.13,Online,All
PR0379,P0016,S027,25-01-2025,14-02-2025,Price Cut,0.24,In-Store,Single
PR0380,P0024,S017,05-03-2025,23-03-2025,Price Cut,0.28,In-Store,Single
PR0381,P0100,S029,04-05-2024,12-05-2024,Bundle,0.09,In-Store,Single
PR0382,P0088,S021,23-02-2024,08-03-2024,Price Cut,0.17,Online,Single
PR0383,P0041,S016,04-08-2025,21-08-2025,Coupon,0.05,In-Store,Single
PR0384,P0040,S024,16-03-2025,28-03-2025,Price Cut,0.06,In-Store,Single
PR0385,P0103,S024,02-02-2024,21-02-2024,Price Cut,0.19,Both,Single
PR0386,P0133,S030,27-07-2024,04-08-2024,Price Cut,0.26,Online,Single
PR0387,P0067,S009,23-08-2024,31-08-2024,Coupon,0.25,In-Store,Single
PR0388,P0009,,23-01-2024,07-02-2024,Price Cut,0.17,In-Store,All
PR0389,P0148,S013,17-06-2024,25-06-2024,Price Cut,0.1,In-Store,Single
PR0390,P0012,,31-03-2025,04-04-2025,BOGO,0.5,In-Store,All
PR0391,P0149,S025,22-01-2025,06-02-2025,Price Cut,0.2,Online,Single
PR0392,P0155,S024,13-04-2024,03-05-2024,Flash Sale,0.11,Online,Single
PR0393,P0070,S022,26-01-2024,07-02-2024,Price Cut,0.07,In-Store,Single
PR0394,P0158,S020,07-03-2025,21-03-2025,Price Cut,0.02,In-Store,Single
PR0395,P0155,,06-01-2024,14-01-2024,Bundle,0.21,Online,All
PR0396,P0115,S008,09-10-2024,27-10-2024,Price Cut,0.29,Online,Single
PR0397,P0148,S009,16-05-2024,24-05-2024,Flash Sale,0.08,In-Store,Single
PR0398,P0078,S003,08-08-2025,12-08-2025,Price Cut,0.13,In-Store,Single
PR0399,P0081,,20-01-2024,06-02-2024,Flash Sale,0.14,Online,All
PR0400,P0003,S025,24-02-2025,15-03-2025,Price Cut,0.24,In-Store,Single
PR0401,P0055,S006,02-09-2024,18-09-2024,Price Cut,0.07,Online,Single
PR0402,P0098,S015,25-12-2024,30-12-2024,Price Cut,0.14,In-Store,Single
PR0403,P0045,,21-05-2025,29-05-2025,Price Cut,0.21,In-Store,All
PR0404,P0136,S015,19-07-2024,02-08-2024,Coupon,0.14,Both,Single
PR0405,P0053,S021,09-02-2025,20-02-2025,Price Cut,0.04,Online,Single
PR0406,P0021,,15-06-2024,04-07-2024,Price Cut,0.04,Both,All
PR0407,P0040,S009,31-12-2024,13-01-2025,Price Cut,0.15,In-Store,Single
PR0408,P0160,,25-08-2024,07-09-2024,Coupon,0.15,In-Store,All
PR0409,P0062,S014,07-04-2024,14-04-2024,Bundle,0.25,Both,Single
PR0410,P0058,S023,08-01-2024,13-01-2024,Price Cut,0.12,Online,Single
PR0411,P0150,S011,18-09-2024,22-09-2024,BOGO,0.5,In-Store,Single
PR0412,P0112,S002,28-05-2025,13-06-2025,Price Cut,0.04,In-Store,Single
PR0413,P0100,S029,16-01-2025,20-01-2025,Flash Sale,0.14,Online,Single
PR0414,P0084,,23-01-2024,06-02-2024,Flash Sale,0.16,In-Store,All
PR0415,P0170,,06-09-2025,19-09-2025,Flash Sale,0.15,Online,All
PR0416,P0104,,29-09-2025,05-10-2025,Bundle,0.12,In-Store,All
PR0417,P0026,S015,12-06-2024,26-06-2024,Price Cut,0.2,Online,Single
PR0418,P0024,,26-08-2024,03-09-2024,Price Cut,0.22,Online,All
PR0419,P0091,S013,01-12-2024,20-12-2024,Price Cut,0.07,Both,Single
PR0420,P0074,S003,24-07-2024,01-08-2024,Price Cut,0.05,Both,Single
PR0421,P0148,S023,29-07-2025,01-08-2025,Price Cut,0.21,In-Store,Single
PR0422,P0076,,21-08-2024,30-08-2024,Price Cut,0.1,In-Store,All
PR0423,P0038,S003,06-06-2024,14-06-2024,Price Cut,0.08,Both,Single
PR0424,P0071,S016,25-09-2025,30-09-2025,Bundle,0.1,Both,Single
PR0425,P0140,S030,29-05-2025,04-06-2025,Price Cut,0.16,Both,Single
PR0426,P0175,S001,19-02-2024,03-03-2024,BOGO,0.5,In-Store,Single
PR0427,P0117,S023,20-04-2025,30-04-2025,Flash Sale,0.18,Online,Single
PR0428,P0161,S005,01-09-2025,17-09-2025,Coupon,0.22,In-Store,Single
PR0429,P0084,S017,05-02-2025,18-02-2025,BOGO,0.5,In-Store,Single
PR0430,P0115,S020,20-05-2024,23-05-2024,Price Cut,0.19,In-Store,Single
PR0431,P0125,S025,14-07-2024,17-07-2024,Price Cut,0.11,Both,Single
PR0432,P0018,S011,01-01-2024,18-01-2024,Coupon,0.16,In-Store,Single
PR0433,P0039,S012,19-02-2024,06-03-2024,Price Cut,0.22,In-Store,Single
PR0434,P0103,,11-01-2025,26-01-2025,Price Cut,0.12,Both,All
PR0435,P0158,,04-02-2024,17-02-2024,BOGO,0.5,Online,All
PR0436,P0048,S025,04-07-2024,17-07-2024,Price Cut,0.02,In-Store,Single
PR0437,P0123,,09-03-2025,19-03-2025,Price Cut,0.02,In-Store,All
PR0438,P0115,S010,13-08-2024,17-08-2024,Price Cut,0.25,In-Store,Single
PR0439,P0142,S013,14-11-2024,24-11-2024,Flash Sale,0.24,In-Store,Single
PR0440,P0048,S013,27-05-2024,15-06-2024,Flash Sale,0.21,Online,Single
PR0441,P0067,,08-04-2024,27-04-2024,Price Cut,0.2,In-Store,All
PR0442,P0008,S023,18-02-2025,05-03-2025,Coupon,0.21,In-Store,Single
PR0443,P0081,S010,19-08-2024,28-08-2024,Flash Sale,0.1,In-Store,Single
PR0444,P0097,S012,24-03-2024,04-04-2024,Bundle,0.1,In-Store,Single
PR0445,P0055,,01-11-2024,17-11-2024,Price Cut,0.12,In-Store,All
PR0446,P0155,S028,16-12-2024,25-12-2024,Bundle,0.22,Online,Single
PR0447,P0173,S014,24-05-2025,08-06-2025,Price Cut,0.18,In-Store,Single
PR0448,P0089,,02-08-2024,13-08-2024,Flash Sale,0.11,In-Store,All
PR0449,P0069,S017,02-01-2024,21-01-2024,Price Cut,0.16,In-Store,Single
PR0450,P0043,S015,01-12-2024,08-12-2024,Flash Sale,0.34,Online,Single
PR0451,P0073,,31-12-2024,10-01-2025,Price Cut,0.06,Online,All
PR0452,P0128,S022,09-03-2024,19-03-2024,Price Cut,0.29,In-Store,Single
PR0453,P0133,,20-06-2024,25-06-2024,Price Cut,0.12,In-Store,All
PR0454,P0089,S024,21-06-2024,06-07-2024,Bundle,0.19,In-Store,Single
PR0455,P0037,,15-01-2024,31-01-2024,Price Cut,0.04,In-Store,All
PR0456,P0132,,21-02-2025,12-03-2025,Price Cut,0.12,In-Store,All
PR0457,P0062,S007,08-03-2025,26-03-2025,Price Cut,0.21,In-Store,Single
PR0458,P0115,,08-12-2024,27-12-2024,Bundle,0.2,In-Store,All
PR0459,P0017,,23-03-2025,29-03-2025,Bundle,0.18,In-Store,All
PR0460,P0049,S017,04-08-2025,11-08-2025,Price Cut,0.16,Online,Single
PR0461,P0048,,20-09-2025,28-09-2025,Bundle,0.21,In-Store,All
PR0462,P0002,S020,23-01-2024,03-02-2024,Price Cut,0.38,In-Store,Single
PR0463,P0103,S012,27-02-2024,10-03-2024,Flash Sale,0.13,In-Store,Single
PR0464,P0007,S005,14-05-2024,03-06-2024,Price Cut,0.35,Both,Single
PR0465,P0145,S021,23-04-2024,09-05-2024,Coupon,0.13,Both,Single
PR0466,P0149,,22-05-2025,09-06-2025,Coupon,0.17,Online,All
PR0467,P0011,S017,18-08-2025,30-08-2025,Price Cut,0.11,In-Store,Single
PR0468,P0176,,11-04-2024,24-04-2024,BOGO,0.5,In-Store,All
PR0469,P0065,S018,19-06-2025,26-06-2025,Bundle,0.16,In-Store,Single
PR0470,P0147,S002,19-08-2024,25-08-2024,Price Cut,0.3,Both,Single
PR0471,P0045,,24-02-2024,28-02-2024,Price Cut,0.18,In-Store,All
PR0472,P0086,S024,27-09-2025,06-10-2025,Price Cut,0.12,In-Store,Single
PR0473,P0100,,13-03-2024,29-03-2024,Coupon,0.26,Online,All
PR0474,P0176,S005,30-03-2025,11-04-2025,BOGO,0.5,Online,Single
PR0475,P0066,S017,09-05-2024,28-05-2024,Price Cut,0.07,Both,Single
PR0476,P0064,S008,05-05-2024,20-05-2024,BOGO,0.5,In-Store,Single
PR0477,P0081,,02-04-2025,09-04-2025,Price Cut,0.05,In-Store,All
PR0478,P0060,S014,10-06-2024,17-06-2024,BOGO,0.5,Both,Single
PR0479,P0093,S030,07-02-2024,10-02-2024,Price Cut,0.13,Online,Single
PR0480,P0101,S029,31-08-2025,05-09-2025,Price Cut,0.17,Online,Single
PR0481,P0164,S025,15-07-2025,28-07-2025,Price Cut,0.22,Online,Single
PR0482,P0011,,05-02-2025,11-02-2025,Price Cut,0.05,In-Store,All
PR0483,P0086,S027,24-04-2025,08-05-2025,BOGO,0.5,In-Store,Single
PR0484,P0133,S017,15-06-2024,05-07-2024,Coupon,0.13,In-Store,Single
PR0485,P0053,S006,24-11-2024,10-12-2024,Price Cut,0.05,Both,Single
PR0486,P0165,S008,09-04-2025,14-04-2025,Flash Sale,0.17,Both,Single
PR0487,P0039,,31-01-2025,12-02-2025,Price Cut,0.27,In-Store,All
PR0488,P0098,,05-03-2024,08-03-2024,Price Cut,0.04,Online,All
PR0489,P0161,,21-02-2025,08-03-2025,Price Cut,0.02,In-Store,All
PR0490,P0030,S016,21-08-2024,24-08-2024,Price Cut,0.19,Online,Single
PR0491,P0145,,16-02-2025,27-02-2025,Price Cut,0.12,In-Store,All
PR0492,P0147,S019,26-01-2024,07-02-2024,Flash Sale,0.24,Both,Single
PR0493,P0103,S030,05-12-2024,12-12-2024,Price Cut,0.05,Both,Single
PR0494,P0058,S014,26-08-2024,02-09-2024,Bundle,0.11,In-Store,Single
PR0495,P0092,S017,10-05-2024,17-05-2024,Price Cut,0.13,Online,Single
PR0496,P0086,S010,24-01-2025,02-02-2025,Bundle,0.19,In-Store,Single
PR0497,P0095,,07-05-2025,21-05-2025,Price Cut,0.23,In-Store,All
PR0498,P0147,,19-07-2025,28-07-2025,Bundle,0.25,Both,All
PR0499,P0005,,09-11-2024,28-11-2024,Price Cut,0.18,In-Store,All
PR0500,P0084,,22-01-2024,27-01-2024,Price Cut,0.07,In-Store,All
PR0501,P0065,,11-09-2025,20-09-2025,Flash Sale,0.16,In-Store,All
PR0502,P0019,S013,23-01-2025,11-02-2025,Coupon,0.25,In-Store,Single
PR0503,P0015,,13-07-2025,30-07-2025,Flash Sale,0.12,In-Store,All
PR0504,P0120,,18-09-2024,25-09-2024,Price Cut,0.11,In-Store,All
PR0505,P0004,S013,13-02-2025,17-02-2025,BOGO,0.5,In-Store,Single
PR0506,P0003,S030,02-08-2024,16-08-2024,Flash Sale,0.16,Both,Single
PR0507,P0072,S014,22-05-2024,08-06-2024,Price Cut,0.22,In-Store,Single
PR0508,P0116,S013,27-09-2025,04-10-2025,Coupon,0.17,In-Store,Single
PR0509,P0178,S007,10-03-2025,14-03-2025,Coupon,0.18,Both,Single
PR0510,P0165,S028,15-04-2024,18-04-2024,Coupon,0.15,In-Store,Single
PR0511,P0063,,14-12-2024,01-01-2025,Coupon,0.09,Online,All
PR0512,P0006,,20-11-2024,06-12-2024,Price Cut,0.12,In-Store,All
PR0513,P0060,S007,23-09-2024,11-10-2024,Coupon,0.08,In-Store,Single
PR0514,P0122,S009,03-07-2025,11-07-2025,Price Cut,0.28,Online,Single
PR0515,P0165,,30-03-2025,17-04-2025,Price Cut,0.21,Online,All
PR0516,P0143,S016,20-02-2024,01-03-2024,Flash Sale,0.15,In-Store,Single
PR0517,P0159,S004,15-01-2025,30-01-2025,Price Cut,0.18,In-Store,Single
PR0518,P0042,S021,02-09-2025,18-09-2025,Coupon,0.09,Online,Single
PR0519,P0098,,04-01-2024,12-01-2024,Price Cut,0.27,Both,All
PR0520,P0165,,24-03-2024,31-03-2024,Price Cut,0.2,Online,All
PR0521,P0098,S004,05-06-2024,25-06-2024,Flash Sale,0.16,Online,Single
PR0522,P0066,S025,20-07-2025,06-08-2025,Price Cut,0.2,In-Store,Single
PR0523,P0061,S007,01-03-2024,08-03-2024,Bundle,0.16,In-Store,Single
PR0524,P0040,,27-06-2024,05-07-2024,Price Cut,0.2,Online,All
PR0525,P0043,S021,23-11-2024,13-12-2024,Price Cut,0.25,In-Store,Single
PR0526,P0048,S002,29-05-2025,10-06-2025,Coupon,0.25,In-Store,Single
PR0527,P0025,S008,30-01-2025,16-02-2025,Price Cut,0.04,In-Store,Single
PR0528,P0017,,10-11-2024,17-11-2024,Bundle,0.14,In-Store,All
PR0529,P0100,S016,11-07-2025,27-07-2025,Bundle,0.19,In-Store,Single
PR0530,P0031,,26-08-2024,31-08-2024,Flash Sale,0.16,In-Store,All
PR0531,P0074,S023,10-05-2024,16-05-2024,Price Cut,0.02,In-Store,Single
PR0532,P0016,S012,09-06-2025,19-06-2025,Price Cut,0.12,Online,Single
PR0533,P0028,S022,03-05-2024,14-05-2024,Price Cut,0.13,In-Store,Single
PR0534,P0088,S030,05-01-2025,11-01-2025,Bundle,0.19,Online,Single
PR0535,P0030,S023,22-08-2025,28-08-2025,Price Cut,0.06,Online,Single
PR0536,P0096,,08-11-2024,14-11-2024,Price Cut,0.18,In-Store,All
PR0537,P0043,,18-03-2025,30-03-2025,Coupon,0.27,Both,All
PR0538,P0168,,09-01-2024,27-01-2024,BOGO,0.5,Online,All
PR0539,P0044,,08-07-2025,23-07-2025,BOGO,0.5,Both,All
PR0540,P0073,,28-03-2025,31-03-2025,Price Cut,0.02,Both,All
PR0541,P0096,S008,22-01-2024,11-02-2024,Price Cut,0.3,Both,Single
PR0542,P0025,S025,25-03-2025,07-04-2025,Price Cut,0.05,Online,Single
PR0543,P0133,S021,31-07-2025,15-08-2025,Price Cut,0.23,In-Store,Single
PR0544,P0143,S015,28-02-2025,16-03-2025,BOGO,0.5,In-Store,Single
PR0545,P0146,S015,29-11-2024,02-12-2024,Price Cut,0.28,Online,Single
PR0546,P0177,S001,12-05-2024,20-05-2024,Price Cut,0.24,Both,Single
PR0547,P0028,S026,22-01-2025,29-01-2025,Bundle,0.18,In-Store,Single
PR0548,P0154,,07-03-2024,25-03-2024,Bundle,0.27,In-Store,All
PR0549,P0089,S002,10-09-2025,29-09-2025,Price Cut,0.25,Online,Single
PR0550,P0075,S007,22-09-2025,11-10-2025,Price Cut,0.24,Online,Single
PR0551,P0111,S020,15-01-2025,21-01-2025,Price Cut,0.12,Both,Single
PR0552,P0034,S002,27-08-2024,04-09-2024,Price Cut,0.22,In-Store,Single
PR0553,P0138,S011,15-12-2024,31-12-2024,Price Cut,0.27,Both,Single
PR0554,P0087,S003,24-01-2024,27-01-2024,Price Cut,0.13,Online,Single
PR0555,P0077,,03-10-2024,11-10-2024,Price Cut,0.07,In-Store,All
PR0556,P0128,S010,26-07-2025,29-07-2025,Price Cut,0.13,In-Store,Single
PR0557,P0095,S017,27-04-2025,10-05-2025,Coupon,0.27,In-Store,Single
PR0558,P0126,S015,05-03-2025,18-03-2025,Price Cut,0.09,In-Store,Single
PR0559,P0101,S016,24-06-2025,29-06-2025,Price Cut,0.03,In-Store,Single
PR0560,P0049,S015,30-03-2025,05-04-2025,BOGO,0.5,In-Store,Single
PR0561,P0129,,06-05-2025,18-05-2025,Price Cut,0.13,Online,All
PR0562,P0078,S004,02-10-2024,19-10-2024,Price Cut,0.2,Online,Single
PR0563,P0013,S027,27-01-2025,06-02-2025,Price Cut,0.02,Both,Single
PR0564,P0080,S003,01-08-2024,19-08-2024,BOGO,0.5,Both,Single
PR0565,P0056,S022,23-05-2024,04-06-2024,Price Cut,0.19,In-Store,Single
PR0566,P0100,S011,29-09-2024,03-10-2024,Price Cut,0.23,In-Store,Single
PR0567,P0088,S007,22-06-2025,11-07-2025,Price Cut,0.18,In-Store,Single
PR0568,P0174,,29-04-2024,07-05-2024,Price Cut,0.2,In-Store,All
PR0569,P0063,,19-04-2024,07-05-2024,BOGO,0.5,Online,All
PR0570,P0017,S028,22-04-2024,02-05-2024,Price Cut,0.15,Online,Single
PR0571,P0161,S022,07-03-2024,19-03-2024,Flash Sale,0.05,In-Store,Single
PR0572,P0166,S014,21-09-2024,03-10-2024,Price Cut,0.23,In-Store,Single
PR0573,P0163,S013,21-09-2025,24-09-2025,Price Cut,0.02,Online,Single
PR0574,P0125,,05-01-2025,17-01-2025,BOGO,0.5,In-Store,All
PR0575,P0129,,20-11-2024,23-11-2024,Price Cut,0.15,In-Store,All
PR0576,P0141,S012,19-05-2025,07-06-2025,Price Cut,0.22,In-Store,Single
PR0577,P0050,S027,02-06-2025,12-06-2025,BOGO,0.5,In-Store,Single
PR0578,P0106,S006,01-01-2025,05-01-2025,Price Cut,0.23,In-Store,Single
PR0579,P0091,,29-01-2024,06-02-2024,Price Cut,0.09,In-Store,All
PR0580,P0034,S014,28-01-2024,31-01-2024,Price Cut,0.09,In-Store,Single
PR0581,P0012,S012,02-01-2025,13-01-2025,Coupon,0.18,In-Store,Single
PR0582,P0105,S021,23-01-2025,10-02-2025,Bundle,0.17,In-Store,Single
PR0583,P0107,S001,18-05-2025,31-05-2025,Price Cut,0.22,In-Store,Single
PR0584,P0074,S004,03-08-2025,23-08-2025,Coupon,0.05,In-Store,Single
PR0585,P0131,S024,05-11-2024,19-11-2024,Price Cut,0.19,Both,Single
PR0586,P0106,S020,17-07-2025,01-08-2025,Price Cut,0.22,Both,Single
PR0587,P0062,S001,09-06-2025,23-06-2025,Price Cut,0.2,Both,Single
PR0588,P0158,S028,10-06-2024,17-06-2024,Price Cut,0.06,In-Store,Single
PR0589,P0005,S011,23-05-2024,11-06-2024,Bundle,0.29,In-Store,Single
PR0590,P0129,S030,28-02-2025,08-03-2025,BOGO,0.5,In-Store,Single
PR0591,P0100,S026,20-06-2025,27-06-2025,Price Cut,0.28,In-Store,Single
PR0592,P0051,,18-03-2024,26-03-2024,BOGO,0.5,In-Store,All
PR0593,P0063,S022,12-02-2024,27-02-2024,Price Cut,0.02,In-Store,Single
PR0594,P0159,S001,07-04-2024,23-04-2024,Price Cut,0.1,In-Store,Single
PR0595,P0125,S025,16-04-2024,29-04-2024,Coupon,0.16,In-Store,Single
PR0596,P0088,S001,18-05-2024,04-06-2024,Price Cut,0.26,Online,Single
PR0597,P0049,,20-07-2025,26-07-2025,Coupon,0.24,Both,All
PR0598,P0059,S004,16-03-2024,19-03-2024,Coupon,0.21,In-Store,Single
PR0599,P0174,S030,22-12-2024,27-12-2024,Price Cut,0.08,In-Store,Single
PR0600,P0139,S003,08-07-2024,15-07-2024,Price Cut,0.2,In-Store,Single
